,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,NridgHt,VinylSd,VinylSd.1,Stone.2,Unknown,Gd,TA,CBlock.2,PConc,Gd.2,TA.2,GLQ,TA.4,Y,Gd.6,TA.5,Attchd,Detchd,Unf.2,Y.1,New,Partial,SalePrice
10,4,-0.6006145093071832,-1.4883610892377426,-0.6008912727416957,-0.7100203871568282,-0.29032612435766464,-0.7066539523587086,-1.334967856009512,1,4,0,-1.0385927280094023,0.511830869888621,-0.1584058336020943,-0.7686489696843887,-0.7799797676024581,141000,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,141000
11,7,0.16847478956569395,-0.40071834107670407,0.21475395368958614,1.2612199812515428,0.24549715402930752,0.33096263124486447,-0.5189726651600054,2,6,2,-0.13881062375915323,0.511830869888621,0.532007968499786,-0.7686489696843887,2.335958918252255,170000,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,170000
12,7,1.037880083943729,0.8287908524966439,-0.6008912727416957,0.35419173330416154,-0.4320783144071282,-0.8745530759191573,0.804048663693078,2,7,0,0.8783343636541717,0.511830869888621,1.260178775404113,-0.7686489696843887,1.7127711810813122,216000,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,216000
13,6,0.03472012889215011,-0.5898736016264499,1.211653674883375,0.47014704909288924,0.10658000778083326,-0.2365364063894522,-0.9652612970485704,1,5,1,-0.29529446797658787,0.511830869888621,0.2731027927115809,-0.7686489696843887,-0.7799797676024581,149000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,149000
14,5,0.06815879406053607,1.2071013735961356,-0.6008912727416957,0.8721254771604786,0.3163732490540393,0.011954296480011901,-0.7698449730263585,1,6,1,-0.2561735069222292,0.511830869888621,0.3809799492899997,-0.7686489696843887,-0.7799797676024581,149900,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,149900
15,5,-0.03215720144462182,-0.6844512319013228,-0.6008912727416957,0.9777736537679861,0.2540022854322753,-0.06192131788658553,-0.827941718005935,1,6,1,-0.37353639008530515,-0.9072202168775808,-0.6762161851785045,-0.7686489696843887,1.4271434682112967,142000,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,142000
16,4,0.03472012889215011,-0.5898736016264499,-0.6008912727416957,1.0525004128318327,-0.23929533593985777,-0.646210267876947,-1.2874341555716766,1,4,0,-0.29529446797658787,0.511830869888621,0.5158263950130232,1.6393927185657207,-0.7799797676024581,126000,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,126000
17,4,0.06815879406053607,-0.5425847864890134,-0.6008912727416957,0.09393646897835048,-0.29032612435766464,-0.7066539523587086,-1.334967856009512,1,5,1,1.073939168925965,-2.3262713036437828,-2.3159489651704703,-0.7686489696843887,-0.7799797676024581,115000,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,115000
18,6,0.06815879406053607,-0.5425847864890134,3.2356621997313706,-1.0192345625934354,-1.2514059728930274,-1.845010010098551,-0.7328743171302644,1,6,0,-0.2561735069222292,-0.9072202168775808,-0.8919704983353421,-0.7686489696843887,-0.7799797676024581,88000,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,88000
19,6,0.26879078507085186,-0.2588518956643947,-0.6008912727416957,-0.09159203628361384,0.2908578548451359,-0.018267545760868868,-0.7936118232452761,2,4,1,-0.021447740596077288,0.511830869888621,0.05734847955474331,-0.7686489696843887,0.6481587967476187,127500,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,127500
20,6,0.20191345473407993,-0.3534295259392676,-0.6008912727416957,0.3052328221933654,-0.31584151856656806,-0.7368757945995894,0.22836273616818345,2,6,1,-0.0996896627047946,0.511830869888621,0.05734847955474331,0.967147747262565,-0.7799797676024581,149900,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,149900
21,7,0.20191345473407993,-0.3534295259392676,-0.6008912727416957,-1.0192345625934354,-0.3697073507853642,-0.8006774615525599,-1.4089091678017003,1,4,0,-0.0996896627047946,-0.9072202168775808,-0.6546407538628207,-0.7686489696843887,-0.0009950961387798765,120000,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,120000
22,6,0.3022294502392378,-0.2115630805269582,-0.6008912727416957,-0.2178544912535618,-0.31584151856656806,-0.7368757945995894,0.22836273616818345,2,7,1,0.017673220458281364,0.511830869888621,0.05734847955474331,-0.5077777867906268,-0.7799797676024581,146000,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,146000
23,9,1.3388280704592026,1.3016790038710084,1.030399180120868,-1.0192345625934354,1.767915675160546,1.8554866731737387,2.5469510130803736,2,10,1,1.2304230131433995,1.9308819566548228,1.7348382643491556,0.6761760432656768,2.673518942553182,376162,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,376162
24,8,1.2719507401224308,1.2071013735961356,1.4130475579528274,2.1192893180881276,2.091110668473323,2.1140513234568297,0.8832714977561369,2,7,1,1.191302052089041,1.9308819566548228,1.8481092787564952,-0.7686489696843887,0.5183280181703389,306000,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,306000
25,8,1.3388280704592026,1.3016790038710084,1.9769504305472938,-1.0192345625934354,1.6375036603150395,1.576774128063394,0.4607497160864895,2,7,0,1.2304230131433995,1.9308819566548228,2.3659196303329053,-0.7686489696843887,0.12883568243849983,290941,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,290941
26,7,1.2050734097856588,1.065234928183826,1.6748596059431153,2.075483976567942,1.6289985289120716,1.566700180649767,0.45282743268018366,2,7,1,1.073939168925965,0.511830869888621,0.5535833998154698,-0.7686489696843887,1.0376511324794577,220000,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,220000
27,7,1.1716347446172728,1.0179461130463896,1.0908173450417036,-1.0140809930028254,1.5609574776883293,1.5465522858225131,0.43698286586757185,2,7,0,1.0348182078716064,0.511830869888621,0.5535833998154698,-0.7686489696843887,-0.7799797676024581,214000,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,214000
28,8,1.104757414280501,0.9233684827715167,1.735277770863951,0.47014704909288924,1.9975542230406769,2.056965621446277,2.3251270777038084,2,7,1,0.956576285762889,1.9308819566548228,1.7618075534937603,1.6193257044969698,2.595620475406814,320000,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,320000
29,9,1.2050734097856588,1.065234928183826,3.547822718489022,0.15577930406567192,2.2271927709208077,2.2752344820748607,1.0100280322570312,2,6,1,1.073939168925965,0.511830869888621,0.7909131442879911,1.1979184090532005,1.349245001064929,319900,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,319900
30,8,1.2385120749540448,1.1125237433212625,1.1915142865764299,-0.957391727506114,1.1442060389429063,0.9924851780730324,0.0012572785207479876,2,6,1,1.1130601299803236,0.511830869888621,0.2946782240272647,0.43537187444066594,0.492361862454883,205000,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,205000
31,7,1.1381960794488868,0.9706572979089532,0.46649630752640153,-1.0192345625934354,-0.5738305044565917,-1.042452199479606,0.6772921291921838,2,6,0,0.9956972468172477,0.511830869888621,0.24073964573805526,-0.7686489696843887,-0.0788935632851477,175500,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,175500
32,6,1.2050734097856588,1.065234928183826,-0.6008912727416957,-1.0192345625934354,1.0137940240974,0.8380179843974196,-0.12021773370927563,2,6,0,1.073939168925965,0.511830869888621,0.003409901265533912,-0.4074427164468723,-0.18275818614697145,199500,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,199500
33,7,1.2385120749540448,1.1125237433212625,-0.4599155545930791,-0.9780060058685545,0.5063211837203204,0.23693912205101317,-0.5929139769521936,2,6,0,1.1130601299803236,0.511830869888621,0.04116690606798049,0.23470173375315684,2.232094295390431,160000,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,160000
34,8,1.1716347446172728,1.065234928183826,-0.43977616628613386,-0.957391727506114,0.8210110456301295,0.653328948480926,-0.2654595961582169,2,6,1,1.0348182078716064,0.511830869888621,0.003409901265533912,0.6962430573344278,-0.26065665329333926,192000,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,192000
35,7,1.1716347446172728,1.0179461130463896,-0.6008912727416957,-0.17920271932398588,-1.6511471488325147,-1.1096118489037856,0.011820323062489172,2,7,1,1.0348182078716064,0.511830869888621,-0.1584058336020943,0.23470173375315684,-0.7799797676024581,184500,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,184500
36,6,1.104757414280501,0.9233684827715167,0.42517834678934574,0.591255934472227,-0.3016662995616217,-0.7200858822435445,1.5593063484275727,2,8,2,0.956576285762889,0.511830869888621,0.05734847955474331,2.1210010562157424,0.46639570673942704,216500,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,216500
37,7,1.1716347446172728,1.0179461130463896,-0.6008912727416957,-1.0192345625934354,-0.3385218689744822,-0.7637396543692612,0.9598535706837605,2,7,1,1.0348182078716064,0.511830869888621,0.019591474752296733,0.6761760432656768,0.46639570673942704,185088,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,185088
38,7,1.037880083943729,0.8287908524966439,-0.6008912727416957,-0.3750383637671704,-1.6511471488325147,-1.0088723747675163,0.15970294664686577,2,7,1,0.8783343636541717,0.511830869888621,-0.1584058336020943,1.0373822965031934,-0.7799797676024581,180000,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,180000
39,7,1.071318749112115,0.8760796676340803,1.211653674883375,-1.0192345625934354,-0.23362524833787923,-0.6394943029345291,1.75736343358522,2,8,1,0.9174553247085303,0.511830869888621,0.02498533258121767,0.6761760432656768,0.46639570673942704,222500,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,222500
40,7,0.9041254232701851,0.639635591946898,2.8026653511320485,1.3488306642919148,2.136471369289151,2.167779042996173,0.9255236759231017,2,7,1,0.7218505194367371,0.511830869888621,0.526614110670865,1.6393927185657207,0.6741249524630746,260400,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,260400
41,8,1.004441418775343,1.1598125584586991,2.9033622926667744,0.331000670146416,0.5261664903272454,0.3007407890039837,2.3779423004125144,2,9,1,0.839213402599813,1.9308819566548228,1.3033296380354804,0.5557739588531714,0.7000911081785305,290000,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,290000
42,7,0.9710027536069571,0.7342132222217709,-0.29880044813751727,-1.0192345625934354,0.648073373769784,0.4048382456114619,1.239774251039902,2,7,0,0.8000924415454544,0.511830869888621,0.30546593968510655,-0.7686489696843887,1.323278845349473,221000,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,221000
43,8,1.2050734097856588,1.1125237433212625,1.6748596059431153,-1.0192345625934354,1.7820908941654923,1.7480312340950517,0.5954285339936897,2,6,1,1.073939168925965,1.9308819566548228,2.4306459242799567,0.6761760432656768,-0.7799797676024581,221500,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,221500
44,7,1.3388280704592026,1.3016790038710084,-0.6008912727416957,-1.0192345625934354,0.7132793811925372,0.4820718424492683,-0.40013841406541706,2,4,0,1.2304230131433995,0.511830869888621,1.3302989271800851,-0.7686489696843887,2.75141740969955,204500,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,204500
45,7,1.3388280704592026,1.254390188733572,-0.6008912727416957,-0.957391727506114,-0.5965108548645058,-1.042452199479606,0.4686719994927954,2,7,0,1.2304230131433995,0.511830869888621,0.9958797417869868,0.9270137191250633,0.38849723959305926,215200,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,215200
46,7,1.1716347446172728,1.065234928183826,-0.6008912727416957,-0.4471883380357121,0.06972443836797275,-0.28019017851516886,1.524976453666914,2,8,1,1.0348182078716064,0.511830869888621,1.341086642837927,-0.7686489696843887,2.75141740969955,254900,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,254900
47,6,1.2050734097856588,1.065234928183826,-0.6008912727416957,2.6243391379679193,1.4220403314398549,1.321567460251512,0.260051869793407,2,6,1,1.073939168925965,0.511830869888621,0.532007968499786,-0.7686489696843887,1.8685681153740479,271500,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,271500
48,7,1.1716347446172728,1.0179461130463896,-0.6008912727416957,0.671136263126684,-0.02950209466665173,-0.39771956500748296,1.8867607292215496,2,8,0,1.0348182078716064,0.511830869888621,1.0174551731026706,-0.7686489696843887,0.38849723959305926,233000,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,233000
49,7,1.1716347446172728,1.0179461130463896,0.6276114139819634,-1.0192345625934354,-0.3838825697903106,-0.8174673739086048,0.7644372466615486,2,8,0,1.0348182078716064,0.511830869888621,0.2946782240272647,0.6761760432656768,0.9857188210485458,181000,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,181000
50,7,0.8372480929334132,0.9233684827715167,-0.6008912727416957,0.7716308701435812,-0.052182445074565896,0.4955037723341042,1.9554205187428673,2,8,2,0.6436085973280198,0.511830869888621,0.18140720961992493,-0.7686489696843887,2.595620475406814,205000,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,205000
51,6,0.3691067805760097,-0.1169854502520853,-0.6008912727416957,0.37995958125721213,-0.12305854009929766,-0.5085329865573791,-1.1791629490188293,2,5,1,0.09591514256699867,-0.9072202168775808,-0.8919704983353421,0.03403159306564773,-0.7799797676024581,143000,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,143000
52,6,0.33566811540762376,-0.16427426538952178,-0.6008912727416957,-1.0192345625934354,-0.137233759104244,-0.525322898913424,-1.192366754696006,2,5,1,0.05679418151264001,-0.9072202168775808,-0.8919704983353421,-0.48771077272187596,-0.7799797676024581,99500,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,99500
53,6,0.5028614412495536,0.07216981029766052,-0.6008912727416957,0.5861023648816169,-0.6305313804763771,-1.0827479891341136,-1.630733103178265,1,4,0,0.2523989867844333,-0.9072202168775808,-0.8919704983353421,2.773179013450147,-0.7799797676024581,125000,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,125000
54,7,0.8038094277650273,0.9706572979089532,-0.6008912727416957,0.01663292511919868,0.0838996573729191,-0.20295658167736244,0.9889019431735487,2,7,0,0.6044876362736611,0.511830869888621,0.14904406264639927,2.94374863303453,1.0376511324794577,194500,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,194500
55,6,0.5028614412495536,0.11945862543509697,-0.6008912727416957,-0.14828130178032517,0.20864158461644702,0.07575596343298241,-0.7196705114530879,2,6,0,0.33064090889315056,0.511830869888621,0.2731027927115809,-0.7686489696843887,-0.7799797676024581,152000,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,152000
56,6,0.3691067805760097,-0.06969663511464885,0.7081689672097443,-1.0192345625934354,-0.8970254977693686,-0.6260623730496933,0.5135649387951955,2,7,1,0.09591514256699867,0.511830869888621,0.25152736139589715,-0.7686489696843887,0.5183280181703389,171000,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,171000
57,6,0.3022294502392378,-0.2115630805269582,-0.6008912727416957,-1.0192345625934354,-2.7398039684123945,0.8178700895701657,1.4061422025723256,2,8,0,0.017673220458281364,0.511830869888621,0.5913404046179164,-0.7686489696843887,-0.7799797676024581,112000,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,112000
58,5,-0.26622785762332357,0.5923467768094616,-0.6008912727416957,1.2972949683858135,0.4042596068847067,0.2705189467631029,-0.5665063655978407,1,6,0,0.3697618699475092,0.511830869888621,0.7909131442879911,1.1577843809156987,-0.7799797676024581,148000,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,148000
59,5,-0.06559586661300779,-0.7317400470387593,-0.28873075398404463,0.14031859529384155,-0.23929533593985777,-0.5857665833951855,-1.2399004551338413,1,5,0,-0.29529446797658787,-0.9072202168775808,-0.8056687730726071,-0.7686489696843887,-0.7799797676024581,122000,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,122000
60,5,-0.19935052728655164,-0.9208953075885051,-0.6008912727416957,1.104036108737934,0.20864158461644702,-0.11564903742592912,-0.8701938961728998,1,5,0,-0.5691411953570984,-0.9072202168775808,-0.6546407538628207,-0.7686489696843887,-0.7799797676024581,133000,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,133000
61,5,-0.2327891924549376,1.3016790038710084,-0.6008912727416957,0.6788666175125991,0.20864158461644702,-0.11564903742592912,-0.8701938961728998,1,6,0,-0.6082621564114571,-0.9072202168775808,-0.9135459296510259,-0.7686489696843887,1.9205004268049597,127000,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,127000
62,6,0.16847478956569395,0.9233684827715167,1.916532265626458,-0.6945596783849979,0.6849289431826445,1.4088750045029452,0.32871165931472474,2,7,2,-0.13881062375915323,0.511830869888621,0.17061949396208304,2.201269112490746,-0.7799797676024581,169000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,169000
63,7,0.7703707625966413,0.45048033139715216,-0.6008912727416957,0.717518389442175,-0.6135211176704415,-0.04513140553054066,1.4615981864164669,2,8,1,0.5653666752193025,0.511830869888621,0.7261868503409399,1.6393927185657207,0.2327003053003236,190000,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,190000
64,8,0.7703707625966413,0.49776914653458865,1.211653674883375,1.8899554713059774,1.2009069149626919,1.0999406171517196,2.259108049317926,2,7,1,0.5653666752193025,1.9308819566548228,1.52987166685016,1.2179854231219513,-0.0009950961387798765,285000,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,285000
65,7,1.1716347446172728,1.065234928183826,-0.6008912727416957,2.3254321017125323,1.4787412074596402,1.3887271096756915,0.3128670925021129,2,6,1,1.0348182078716064,0.511830869888621,0.41334309626352533,0.9169802120906878,0.5183280181703389,260000,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,260000
66,7,1.1716347446172728,1.0179461130463896,-0.6008912727416957,-1.0192345625934354,-0.3583671755814071,-0.7872455316677239,0.8198932305056899,2,3,0,1.0348182078716064,0.511830869888621,0.8556394382350424,-0.7686489696843887,2.102263516813151,190000,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,190000
67,6,1.037880083943729,0.8287908524966439,1.5741626644083893,-0.04520990996812276,-0.5965108548645058,-1.0256622871235612,0.5373317890141132,2,5,0,0.8783343636541717,0.511830869888621,0.05734847955474331,-0.7686489696843887,0.05093721529213201,177500,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,177500
68,7,1.004441418775343,0.7815020373592074,-0.6008912727416957,0.5371434537708208,-0.7666134829238621,-1.2707950075218162,0.12273229075077162,2,6,0,0.839213402599813,0.511830869888621,0.2946782240272647,-0.7686489696843887,0.3625310838776033,155000,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,155000
69,7,1.1381960794488868,0.9706572979089532,-0.6008912727416957,-0.3904990725390008,-1.2372307538880811,-1.828220097742506,-0.7645634507554879,2,4,0,0.9956972468172477,0.511830869888621,0.35940451797431594,-0.7686489696843887,0.5183280181703389,147110,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,147110
70,8,0.3691067805760097,-0.1169854502520853,-0.6008912727416957,0.8566647683886482,-0.6758920812922055,-0.9618606201705906,-1.5356657023025944,1,3,1,0.09591514256699867,0.511830869888621,0.2946782240272647,0.5658074658875468,0.31059877244669143,155000,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,155000
71,8,0.3022294502392378,-0.2115630805269582,-0.6008912727416957,1.6915430420674877,0.7359597316004514,0.5089357022189401,-0.37901232498193466,1,4,1,0.017673220458281364,0.511830869888621,0.2946782240272647,1.468823098981338,1.2453803782031052,206000,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,206000
72,6,0.23535211990246588,1.065234928183826,2.30925033761189,0.35419173330416154,-0.6843972126951733,-1.173413515856756,0.28910024228319525,2,6,0,-0.060568701650435944,0.511830869888621,0.2461335035669762,-0.7686489696843887,0.3625310838776033,130500,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,130500
73,7,1.104757414280501,0.9233684827715167,-0.6008912727416957,1.1272271718956794,1.4900813826635975,1.4021590395605272,0.32343013704385415,2,6,1,0.956576285762889,0.511830869888621,0.8987903008664099,2.0106324788376124,2.777383565415006,230000,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,230000
74,6,-0.06559586661300779,-0.7317400470387593,0.6074720256750181,0.28461854383092494,2.4454911435969815,2.5337991323579514,1.213366639685549,2,8,0,-0.4126573511396638,0.511830869888621,0.5697649733022326,-0.7686489696843887,1.1934480667721934,218500,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,218500
75,6,0.8038094277650273,0.49776914653458865,-0.6008912727416957,1.9105697496684177,0.889052096853872,0.6902667556642247,2.972113555885456,2,9,1,0.6044876362736611,0.511830869888621,1.24399720191735,1.4788566060157133,0.05093721529213201,243500,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,243500
76,6,0.26879078507085186,0.8760796676340803,-0.3189398364444625,2.0729071917726367,1.8246165511803314,1.7984009711631863,0.635039951025219,2,6,2,-0.021447740596077288,0.511830869888621,0.2731027927115809,0.9169802120906878,0.9857188210485458,205000,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,205000
77,6,0.3022294502392378,-0.2115630805269582,-0.6008912727416957,0.7510165917811408,0.7302896439984728,0.7137726329626876,1.3770938300825373,3,7,1,0.017673220458281364,0.511830869888621,1.341086642837927,-0.7686489696843887,1.0116849767640017,212500,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,212500
78,7,0.6366161019230975,0.26132507084740636,-0.17796411829584588,-0.0039813532432418,0.03853895655709077,-0.31712798569846756,0.9096791091104899,2,7,1,0.4088828310018679,0.511830869888621,0.35940451797431594,1.5189906341532153,0.9337865096176339,196500,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,196500
